ymd,hm,ta,weekday,weekend,max_power,spring,summer,autoum,winter,CDD,HDD,multiple_season
2022-03-08,64.75,-0.2738888888888888,1,0,76762.0,1,0,0,0,0.0,12.684241622574955,1061.0553227633998
2022-03-09,53.43994708994709,9.218033509700176,1,0,67781.0,1,0,0,0,0.0,10.785189594356261,-57.67845915215139
2022-03-10,77.2563492063492,2.483015873015873,1,0,73845.0,1,0,0,0,0.0,9.624206349206348,1406.2676759487235
2022-03-11,61.74065255731922,7.707513227513227,1,0,74509.0,1,0,0,0,0.0,7.219206349206351,1483.2951166810917
2022-03-12,69.74153439153439,15.956604938271605,0,1,62118.0,1,0,0,0,0.0,4.691582892416225,-8433.73686747983
2022-03-13,94.98932980599648,12.515008818342151,0,1,61436.0,1,0,0,0,0.0,5.545180776014108,-10196.5206304566
2022-03-14,92.1716049382716,10.687028218694884,1,0,76789.0,1,0,0,0,0.0,8.930282186948855,2587.8635110844116
2022-03-15,56.15811287477954,11.673024691358023,1,0,71988.0,1,0,0,0,0.0,9.866199294532628,-1842.6974505299527
2022-03-16,89.84770723104056,3.611031746031746,1,0,70966.0,1,0,0,0,0.0,8.012808641975308,-2565.5572865045606
2022-03-17,72.80114638447972,9.294091710758376,1,0,75575.0,1,0,0,0,0.0,8.236044973544974,713.8257552305386
2022-03-18,77.37574955908289,6.913236331569665,1,0,76980.0,1,0,0,0,0.0,10.700454144620812,35.95315595604188
2022-03-19,93.0188712522046,3.055026455026455,0,1,66838.0,1,0,0,0,0.0,13.806040564373898,-10068.706996781959
2022-03-20,61.87028218694885,5.469197530864197,0,1,62882.0,1,0,0,0,0.0,12.597773368606703,-12717.648031461616
2022-03-21,38.52460317460318,9.59858906525573,1,0,74381.0,1,0,0,0,0.0,13.090502645502646,-1312.3057250642942
2022-03-22,52.16851851851852,7.979947089947091,1,0,73197.0,1,0,0,0,0.0,11.290515873015872,-2018.7644692218073
2022-03-23,73.78051146384479,4.349620811287478,1,0,78217.0,1,0,0,0,0.0,12.24008377425044,48.35868408512124
2022-03-24,79.27698412698413,3.3577954144620814,1,0,73156.0,1,0,0,0,0.0,10.431719576719578,-399.5160344206406
2022-03-25,78.98192239858906,7.546402116402116,1,0,71135.0,1,0,0,0,0.0,6.396168430335097,-956.9309702027922
2022-03-26,94.12442680776012,10.45047619047619,0,1,62291.0,1,0,0,0,0.0,6.995282186948854,-10437.235755406096
2022-03-27,38.55820105820106,8.375202821869488,0,1,60623.0,1,0,0,0,0.0,9.078359788359787,-12429.317198346329
2022-03-28,39.39982363315696,9.71210758377425,1,0,70765.0,1,0,0,0,0.0,10.96746913580247,-2676.3341660855194
2022-03-29,51.02901234567901,12.59478835978836,1,0,70311.0,1,0,0,0,0.0,9.012455908289242,-2421.871063213258
2022-03-30,70.17566137566138,15.90327160493827,1,0,71112.0,1,0,0,0,0.0,7.232045855379189,-3108.365222158449
2022-03-31,68.81075837742505,9.69110229276896,1,0,70618.0,1,0,0,0,0.0,8.019814814814815,-3224.867351855375
2022-04-01,40.29761904761905,9.688690476190477,1,0,68838.0,1,0,0,0,0.0,9.108035714285714,-5420.350904373705
2022-04-02,46.20238095238095,8.485714285714286,0,1,61732.0,1,0,0,0,0.0,10.479166666666666,-15206.287385606396
2022-04-03,53.94642857142857,9.71309523809524,0,1,60331.0,1,0,0,0,0.0,9.095535714285713,-16336.762762703904
2022-04-04,38.05357142857143,11.1,1,0,69891.0,1,0,0,0,0.0,8.20357142857143,-3237.122517108386
2022-04-05,31.136904761904763,11.286309523809525,1,0,70446.0,1,0,0,0,0.0,8.788392857142858,-2666.5301446736794
2022-04-06,38.63095238095238,12.58392857142857,1,0,69222.0,1,0,0,0,0.0,6.436309523809525,-3028.1147709853144
2022-04-07,44.54166666666666,10.272023809523809,1,0,69860.0,1,0,0,0,0.0,7.046726190476191,-3643.3001872083764
2022-04-08,32.79761904761905,16.310119047619047,1,0,67293.0,1,0,0,0,0.0,6.341666666666669,-5018.911736458913
2022-04-09,42.42857142857143,19.067857142857143,0,1,60137.0,1,0,0,0,0.0,0.7336309523809526,-12869.224167880846
2022-04-10,51.625,18.180357142857144,0,1,58490.0,1,0,0,0,0.0,0.48869047619047734,-14755.34029304365
2022-04-11,60.23809523809524,21.42559523809524,1,0,68823.0,1,0,0,0,1.1232142857142868,0.0,-5647.137207150116
2022-04-12,75.30357142857143,18.08690476190476,1,0,69958.0,1,0,0,0,1.25,0.0,-4189.790026348014
2022-04-13,68.2797619047619,11.904761904761903,1,0,71881.0,1,0,0,0,0.0,5.260714285714286,-3075.8504127155375
2022-04-14,69.42261904761905,10.85952380952381,1,0,71338.0,1,0,0,0,0.0,5.578571428571429,-4726.3103075836125
2022-04-15,49.875,13.60654761904762,1,0,67136.0,1,0,0,0,0.0,5.68392857142857,-8197.270361213834
2022-04-16,39.875,13.510119047619048,0,1,59946.0,1,0,0,0,0.0,5.831547619047619,-13565.056951079463
2022-04-17,49.285714285714285,13.6875,0,1,58751.0,1,0,0,0,0.0,5.829464285714286,-14669.840469785713
2022-04-18,38.45833333333333,15.313095238095238,1,0,67906.0,1,0,0,0,0.0,3.1970238095238095,-4066.5933227103133
2022-04-19,46.333333333333336,15.48452380952381,1,0,68498.0,1,0,0,0,0.0,4.104464285714288,-4812.535715883303
2022-04-20,41.56547619047619,16.329166666666666,1,0,67702.0,1,0,0,0,0.0,3.9473214285714278,-5360.555558813694
2022-04-21,55.85119047619048,16.399404761904762,1,0,68549.0,1,0,0,0,0.0,3.506845238095238,-4310.071263951946
2022-04-22,86.75595238095238,14.041666666666666,1,0,67015.0,1,0,0,0,0.0,3.1940476190476197,-5286.889770033766
2022-04-23,42.708333333333336,20.378571428571423,0,1,58909.0,1,0,0,0,0.0,1.275892857142857,-13336.866671063639
2022-04-24,72.21428571428572,18.24345238095238,0,1,58501.0,1,0,0,0,0.14404761904761898,0.0,-13509.770574109012
2022-04-25,59.208333333333336,23.026190476190475,1,0,69646.0,1,0,0,0,1.442857142857143,0.0,-3480.453646065176
2022-04-26,46.56547619047619,25.619642857142857,1,0,69997.0,1,0,0,0,3.0181547619047606,0.0,-4764.674521439597
2022-04-27,39.21428571428572,17.80297619047619,1,0,67404.0,1,0,0,0,0.0,1.1270833333333314,-5976.8786344251275
2022-04-28,42.01785714285714,17.629166666666666,1,0,68086.0,1,0,0,0,0.0,1.355357142857141,-5577.662760519009
2022-04-29,90.66666666666669,10.31904761904762,1,0,67684.0,1,0,0,0,0.0,4.957738095238096,-6885.917828906683
2022-04-30,76.44047619047619,11.714285714285715,0,1,58925.0,1,0,0,0,0.0,4.68154761904762,-16111.695837655776
2022-05-01,49.029982363315696,13.050670194003528,0,1,57628.0,1,0,0,0,0.0,5.613540564373899,-19463.611825176664
